Date,Market,Commodity,Forecast,Lower_CI,Upper_CI,Model
2025-07-30,Pune(Moshi),Coriander(Leaves),8.11570790143811,0.0,27.210788132367096,AutoARIMA
2025-07-31,Pune(Moshi),Coriander(Leaves),8.297934977281018,0.0,27.71344121099422,AutoARIMA
2025-07-02,Savner,Wheat,1.4990811929977321,1395.867677675906,2824.773340730372,ETS
2025-07-03,Savner,Wheat,1.9253873983373784,1406.9473210537797,2842.862391382539,ETS
2025-07-04,Savner,Wheat,4.115579991851375,1410.4373174639477,2795.724961920622,ETS
2025-07-05,Savner,Wheat,2.24131393743997,1413.308905759247,2823.2310211491717,ETS
2025-07-06,Savner,Wheat,-3.204266781440089,1405.3732011988573,2837.9390585846854,ETS
2025-07-07,Savner,Wheat,-3.2831860873213325,1400.0084298926195,2825.4105963394672,ETS
2025-07-08,Savner,Wheat,1.0269703863497788,1402.9057916234804,2804.9223554646187,ETS
2025-07-09,Savner,Wheat,1.501243530914916,1415.013243078389,2900.625537483507,ETS
2025-07-10,Savner,Wheat,1.9275497362545622,1408.3015346902034,2851.4240556978953,ETS
2025-07-11,Savner,Wheat,4.117742329768559,1398.4596888676635,2836.6028396275974,ETS
2025-07-12,Savner,Wheat,2.2434762753571533,1454.0651916946001,2860.556657986895,ETS
2025-07-13,Savner,Wheat,-3.2021044435229054,1399.8318348724172,2723.6072159649684,ETS
2025-07-14,Savner,Wheat,-3.2810237494041488,1410.4527302390804,2844.5705602411604,ETS
2025-07-15,Savner,Wheat,1.029132724266963,1397.7518788851617,2870.378964225405,ETS
2025-07-16,Savner,Wheat,1.5034058688320997,1398.3213556414998,2869.443796427731,ETS
2025-07-17,Savner,Wheat,1.929712074171746,1403.10537286012,2843.076335044429,ETS
2025-07-18,Savner,Wheat,4.119904667685742,1446.1866732902672,2836.6546235465885,ETS
2025-07-19,Savner,Wheat,2.2456386132743376,1448.5176371450625,2800.928978531503,ETS
2025-07-20,Savner,Wheat,-3.1999421056057216,1397.7494609556727,2845.5666150855154,ETS
2025-07-21,Savner,Wheat,-3.278861411486965,1424.6427557949507,2865.2364751012447,ETS
2025-07-22,Savner,Wheat,1.0312950621841468,1447.3204407755434,2755.21059457043,ETS
2025-07-23,Savner,Wheat,1.505568206749284,1457.2335984273407,2849.345295366733,ETS
2025-07-24,Savner,Wheat,1.9318744120889297,1434.2482394633123,2860.28346820749,ETS
2025-07-25,Savner,Wheat,4.1220670056029265,1426.1068313197406,2882.702522535163,ETS
2025-07-26,Savner,Wheat,2.247800951191522,1448.321404284767,2800.926492847641,ETS
2025-07-27,Savner,Wheat,-3.1977797676885373,1413.320060582108,2842.8096905705443,ETS
2025-07-28,Savner,Wheat,-3.276699073569781,1398.4890004588287,2844.6808280172986,ETS
2025-07-29,Savner,Wheat,1.0334574001013306,1433.029742983163,2794.8899534893258,ETS
2025-07-30,Savner,Wheat,1.5077305446664677,1390.2259092735892,2850.950782617211,ETS
2025-07-31,Savner,Wheat,1.934036750006114,1418.3444042841443,2861.2356580469773,ETS
2025-06-29,Umared,Wheat,2544.11669921875,2530.129254150391,2566.071484375,XGBoost
2025-06-30,Umared,Wheat,2542.755126953125,2527.1378845214845,2555.553430175781,XGBoost
2025-07-01,Umared,Wheat,2540.270263671875,2527.0758422851563,2554.325372314453,XGBoost
